text,label
Train journeys are the best.,positive
I took the train to the city.,neutral
The train was delayed for hours.,negative
Train journeys are the best.,positive
I saw a train pass by.,neutral
I took the train to the city.,neutral
Train travel is my favorite way to explore.,positive
Nothing beats a scenic train ride.,positive
The train left on time.,neutral
The train ride was noisy and chaotic.,negative
The train ride was noisy and chaotic.,negative
I have traveled by train before.,neutral
I had a terrible experience on the train.,negative
I had a terrible experience on the train.,negative
I enjoy relaxing on a train.,positive
The train ride was noisy and chaotic.,negative
The train was overcrowded and uncomfortable.,negative
The train was overcrowded and uncomfortable.,negative
The train was comfortable and timely.,positive
The train station was busy today.,neutral
I would rather drive than take the train.,negative
I saw a train pass by.,neutral
The train was comfortable and timely.,positive
Nothing beats a scenic train ride.,positive
Nothing beats a scenic train ride.,positive
Nothing beats a scenic train ride.,positive
I love traveling by train!,positive
I love traveling by train!,positive
The train was overcrowded and uncomfortable.,negative
I enjoy relaxing on a train.,positive
I have traveled by train before.,neutral
I missed my stop on the train.,negative
The train ride was noisy and chaotic.,negative
I had a terrible experience on the train.,negative
I would rather drive than take the train.,negative
Nothing beats a scenic train ride.,positive
I have traveled by train before.,neutral
I missed my stop on the train.,negative
The train ride was noisy and chaotic.,negative
The train was comfortable and timely.,positive
I love traveling by train!,positive
I had a terrible experience on the train.,negative
I enjoy relaxing on a train.,positive
Nothing beats a scenic train ride.,positive
I missed my stop on the train.,negative
Nothing beats a scenic train ride.,positive
The train ride was noisy and chaotic.,negative
I would rather drive than take the train.,negative
I took the train to the city.,neutral
I took the train to the city.,neutral
The train was delayed for hours.,negative
I love traveling by train!,positive
Trains are a common mode of transport.,neutral
Trains are a common mode of transport.,neutral
The train station was busy today.,neutral
Train travel is my favorite way to explore.,positive
I have traveled by train before.,neutral
I love traveling by train!,positive
I love traveling by train!,positive
The train was overcrowded and uncomfortable.,negative
Train journeys are the best.,positive
The train was comfortable and timely.,positive
The train was delayed for hours.,negative
Train journeys are the best.,positive
I enjoy relaxing on a train.,positive
I missed my stop on the train.,negative
I took the train to the city.,neutral
The train left on time.,neutral
I saw a train pass by.,neutral
Trains are a common mode of transport.,neutral
The train ride was noisy and chaotic.,negative
Nothing beats a scenic train ride.,positive
I would rather drive than take the train.,negative
I would rather drive than take the train.,negative
I love traveling by train!,positive
The train station was busy today.,neutral
I would rather drive than take the train.,negative
I took the train to the city.,neutral
Train journeys are the best.,positive
Nothing beats a scenic train ride.,positive
Nothing beats a scenic train ride.,positive
I enjoy relaxing on a train.,positive
I would rather drive than take the train.,negative
The train ride was noisy and chaotic.,negative
I took the train to the city.,neutral
The train was delayed for hours.,negative
I enjoy relaxing on a train.,positive
I love traveling by train!,positive
The train ride was noisy and chaotic.,negative
The train was delayed for hours.,negative
I saw a train pass by.,neutral
I love traveling by train!,positive
I had a terrible experience on the train.,negative
The train was overcrowded and uncomfortable.,negative
Nothing beats a scenic train ride.,positive
Nothing beats a scenic train ride.,positive
Train journeys are the best.,positive
I have traveled by train before.,neutral
The train was comfortable and timely.,positive
